Name,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
Trigun,TV,26,Finished Airing,"Apr 1, 1998 to Sep 30, 1998",Victor Entertainment,"Funimation, Geneon Entertainment USA",Madhouse,Manga,"Drama, Sci-Fi, Adventure, Action, Comedy",Adult Cast,24 min. per ep.,PG-13 - Teens 13 or older,"8.22 scored by 323,467 users",#298,#238,"647,074","12,982"
Stand By Me Doraemon 2,Movie,1,Finished Airing,"Nov 20, 2020","Dentsu, Toho, Nagoya Broadcasting Network, Asahi Broadcasting, TV Asahi, Shogakukan, Shueisha, Shizuoka Asahi Television, Abe Shuuji Jimusho","None found, add some","Shin-Ei Animation, Shirogumi",Manga,"Sci-Fi, Comedy",,1 hr. 35 min.,PG - Children,"8.22 scored by 7,957 users",#297,#4719,"14,560",87
Mimi wo Sumaseba,Movie,1,Finished Airing,"Jul 15, 1995",Tokuma Shoten,"Disney Platform Distribution, GKIDS",Studio Ghibli,Manga,"Drama, Slice of Life, Romance",,1 hr. 51 min.,G - All Ages,"8.22 scored by 165,427 users",#296,#643,"291,758","3,808"
Yuukoku no Moriarty 2nd Season,TV,13,Finished Airing,"Apr 4, 2021 to Jun 27, 2021","Bandai Namco Arts, Mainichi Broadcasting System, Yomiuri TV Enterprise, Shueisha, Bandai Spirits",Funimation,Production I.G,Manga,"Mystery, Suspense","Psychological, Historical",23 min. per ep.,R - 17+ (violence & profanity),"8.23 scored by 72,742 users",#295,#1063,"176,268","2,310"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,Finished Airing,"Apr 3, 2015 to Jun 26, 2015","Marvelous AQL, TBS, NBCUniversal Entertainment Japan",Sentai Filmworks,feel.,Light novel,"Drama, Slice of Life, Romance, Comedy","School, Love Polygon",24 min. per ep.,PG-13 - Teens 13 or older,"8.23 scored by 597,036 users",#294,#130,"913,494","15,214"
xxxHOLiC: Kei,TV,13,Finished Airing,"Apr 4, 2008 to Jun 27, 2008","TBS, Kids Station, BMG Japan, Kodansha, Movic","None found, add some",Production I.G,Manga,"Drama, Mystery, Supernatural, Comedy",Psychological,24 min. per ep.,PG-13 - Teens 13 or older,"8.23 scored by 61,311 users",#293,#1402,"128,972",545
Vanitas no Karte Part 2,TV,12,Currently Airing,"Jan 15, 2022 to Apr 2, 2022","Contents Seed, Hakuhodo DY Music & Pictures, Square Enix, Aniplex","None found, add some",Bones,Manga,,"Vampire, Historical",23 min. per ep.,R - 17+ (violence & profanity),"8.23 scored by 23,169 users",#292,#1272,"146,106","1,323"
SKET Dance,TV,77,Finished Airing,"Apr 7, 2011 to Sep 27, 2012","Avex Entertainment, TV Tokyo, Dentsu","None found, add some",Tatsunoko Production,Manga,,School,24 min. per ep.,PG-13 - Teens 13 or older,"8.23 scored by 78,516 users",#291,#923,"207,227","3,071"
No Game No Life: Zero,Movie,1,Finished Airing,"Jul 15, 2017","AT-X, Movic, Kadokawa, Frontier Works",Sentai Filmworks,Madhouse,Light novel,"Drama, Romance, Supernatural, Fantasy","Video Game, Strategy Game",1 hr. 46 min.,PG-13 - Teens 13 or older,"8.23 scored by 407,722 users",#290,#180,"753,001","7,088"
Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,TV,25,Finished Airing,"Oct 2, 2016 to Apr 2, 2017","Sotsu, Asatsu DK, Mainichi Broadcasting System",Funimation,Sunrise,Original,"Drama, Sci-Fi, Action","Space, Mecha",24 min. per ep.,R - 17+ (violence & profanity),"8.23 scored by 66,765 users",#289,#1480,"118,389","1,374"
Major S1,TV,26,Finished Airing,"Nov 13, 2004 to May 21, 2005","Shogakukan-Shueisha Productions, NHK","None found, add some",Studio Hibari,Manga,"Drama, Sports, Comedy",Team Sports,25 min. per ep.,PG-13 - Teens 13 or older,"8.23 scored by 46,893 users",#288,#1811,"91,250","1,316"
Magi: The Kingdom of Magic,TV,25,Finished Airing,"Oct 6, 2013 to Mar 30, 2014","Dentsu, Mainichi Broadcasting System, Movic, Shogakukan-Shueisha Productions, GYAO!, Aniplex",Aniplex of America,A-1 Pictures,Manga,"Adventure, Action, Fantasy",,25 min. per ep.,PG-13 - Teens 13 or older,"8.23 scored by 412,180 users",#287,#181,"752,434","7,270"
Luo Xiao Hei Zhan Ji (Movie),Movie,1,Finished Airing,"Sep 7, 2019","None found, add some","None found, add some","None found, add some",Original,"Adventure, Drama, Fantasy",,1 hr. 41 min.,G - All Ages,"8.23 scored by 4,666 users",#286,#4678,"14,847",209
