Name,Type,Episodes,Status,Aired,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites
Natsuyuki Rendezvous,TV,11,Finished Airing,"Jul 6, 2012 to Sep 14, 2012","Toho, Sony Music Entertainment, Fuji TV",Sentai Filmworks,Doga Kobo,Manga,"Drama, Romance, Supernatural",,23 min. per ep.,PG-13 - Teens 13 or older,"7.27 scored by 31,197 users",#2599,#2035,"76,014",238
Nabari no Ou,TV,26,Finished Airing,"Apr 7, 2008 to Sep 29, 2008","Square Enix, Kinyosha",Funimation,J.C.Staff,Manga,"Drama, Action, Fantasy, Supernatural, Comedy",,24 min. per ep.,PG-13 - Teens 13 or older,"7.27 scored by 64,390 users",#2598,#1200,"157,445","1,214"
Mobile Suit Gundam Thunderbolt: Bandit Flower,Movie,1,Finished Airing,"Nov 18, 2017","None found, add some",NYAV Post,Sunrise,Manga,"Drama, Sci-Fi, Action","Space, Mecha, Military",1 hr. 29 min.,R+ - Mild Nudity,"7.27 scored by 5,015 users",#2597,#5357,"10,598",21
Mobile Suit Gundam 0083: Stardust Memory,OVA,13,Finished Airing,"May 23, 1991 to Sep 24, 1992",Bandai Visual,"Nozomi Entertainment, Bandai Entertainment",Sunrise,Original,"Adventure, Romance, Sci-Fi, Drama","Space, Mecha, Military",30 min. per ep.,PG-13 - Teens 13 or older,"7.27 scored by 21,482 users",#2596,#3025,"38,158",228
Matantei Loki Ragnarok,TV,26,Finished Airing,"Apr 5, 2003 to Sep 27, 2003","TV Tokyo, Rakuonsha","Sentai Filmworks, ADV Films",Studio Deen,Manga,"Mystery, Supernatural, Comedy",,24 min. per ep.,PG-13 - Teens 13 or older,"7.27 scored by 15,735 users",#2595,#3099,"36,244",172
Main Actor,Music,1,Finished Airing,"Feb 21, 2018","None found, add some","None found, add some","None found, add some",Music,,Music,5 min.,PG-13 - Teens 13 or older,"7.27 scored by 1,699 users",#2594,#8778,"2,848",7
Macross Δ,TV,26,Finished Airing,"Apr 3, 2016 to Sep 25, 2016","flying DOG, Bandai Visual, Big West, Techno Sound","None found, add some",Satelight,Original,"Romance, Sci-Fi, Action","Space, Music, Mecha, Military",23 min. per ep.,PG-13 - Teens 13 or older,"7.27 scored by 24,208 users",#2593,#2156,"69,811",469
Lupin III: Fuuma Ichizoku no Inbou,Movie,1,Finished Airing,"Dec 26, 1987",Toho,"AnimEigo, Discotek Media",Tokyo Movie Shinsha,Manga,"Adventure, Mystery, Action, Comedy",Adult Cast,1 hr. 13 min.,PG-13 - Teens 13 or older,"7.27 scored by 4,530 users",#2592,#5564,"9,593",4
Ling Long: Incarnation,ONA,6,Finished Airing,"Jul 13, 2019 to Sep 21, 2019",bilibili,"None found, add some",YHKT Entertainment,Original,"Drama, Horror, Sci-Fi, Action, Suspense",Mythology,30 min. per ep.,R - 17+ (violence & profanity),"7.27 scored by 1,008 users",#2591,#8069,"3,765",24
Kyouran Kazoku Nikki,TV,26,Finished Airing,"Apr 12, 2008 to Oct 4, 2008",Lantis,"None found, add some",Nomad,Light novel,"Sci-Fi, Comedy",,24 min. per ep.,PG-13 - Teens 13 or older,"7.27 scored by 10,487 users",#2590,#3592,"27,459",109
Kuruneko,TV,50,Finished Airing,"Jul 5, 2009 to Jun 26, 2010","Kadokawa Pictures Japan, Tokai Television, Kansai Telecasting","None found, add some","Studio Deen, DAX Production",Manga,"Slice of Life, Comedy",Pets,2 min. per ep.,G - All Ages,"7.27 scored by 1,070 users",#2589,#7605,"4,438",9
Konjiki no Gash Bell!!: 101 Banme no Mamono,Movie,1,Finished Airing,"Aug 7, 2004","None found, add some",Discotek Media,Toei Animation,Unknown,"Adventure, Supernatural",,1 hr. 24 min.,PG-13 - Teens 13 or older,"7.27 scored by 3,680 users",#2588,#6049,"7,869",3
Kimi no Kokoro wa Kagayaiteru kai?,Music,1,Finished Airing,"Oct 7, 2015","Magic Capsule, Lantis","None found, add some",Sunrise,Music,,"Idols (Female), Music",6 min.,PG-13 - Teens 13 or older,"7.27 scored by 4,626 users",#2587,#5577,"9,529",17
Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,TV,50,Finished Airing,"Jan 4, 1981 to Dec 27, 1981","None found, add some","None found, add some",Nippon Animation,Novel,"Adventure, Slice of Life, Drama",Historical,24 min. per ep.,G - All Ages,"7.27 scored by 2,294 users",#2586,#6965,"5,494",19
Puparia,ONA,1,Finished Airing,"Nov 20, 2020","None found, add some","None found, add some","None found, add some",Original,,,3 min.,PG-13 - Teens 13 or older,"7.62 scored by 16,016 users",#1275,#3370,"30,896",225
Orange,TV,13,Finished Airing,"Jul 4, 2016 to Sep 26, 2016","DAX Production, TMS Entertainment, TOHO animation, ABC Animation, Lawson, MediaLink Entertainment Limited","Crunchyroll, Funimation",Telecom Animation Film,Manga,"Drama, Romance, Sci-Fi","School, Love Polygon, Time Travel",24 min. per ep.,PG-13 - Teens 13 or older,"7.62 scored by 343,262 users",#1274,#210,"709,755","6,025"
One Piece: Episode of Luffy - Hand Island no Bouken,Special,1,Finished Airing,"Dec 15, 2012","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Action, Fantasy, Comedy",Super Power,1 hr. 42 min.,PG-13 - Teens 13 or older,"7.62 scored by 23,797 users",#1273,#2758,"44,458",25
Nurarihyon no Mago,TV,24,Finished Airing,"Jul 6, 2010 to Dec 21, 2010","Toho, Pony Canyon, Yomiuri Telecasting, Yomiko Advertising, Imagine, Hakuhodo DY Media Partners, Shueisha, BS11",VIZ Media,Studio Deen,Manga,"Supernatural, Action",Mythology,24 min. per ep.,PG-13 - Teens 13 or older,"7.62 scored by 110,423 users",#1272,#777,"247,706","1,252"
Trapp Ikka Monogatari,TV,40,Finished Airing,"Jan 13, 1991 to Dec 28, 1991",Fuji TV,"None found, add some",Nippon Animation,Other,"Drama, Romance","Music, Childcare, Historical",23 min. per ep.,G - All Ages,"7.63 scored by 2,893 users",#1271,#6330,"6,996",20
Toaru Hikuushi e no Tsuioku,Movie,1,Finished Airing,"Oct 1, 2011","Cyclone Graphics, Kids Station, TV Tokyo, Tokyo Theatres, Bandai Visual, Sammy, Movic, TMS Entertainment, Shogakukan, Imagine, TMS Music, MediaNet","NIS America, Inc.",Madhouse,Light novel,"Adventure, Romance",Military,1 hr. 39 min.,PG-13 - Teens 13 or older,"7.63 scored by 27,411 users",#1270,#2220,"66,507",232
Uchuu no Stellvia,TV,26,Finished Airing,"Apr 3, 2003 to Sep 25, 2003","TV Tokyo Music, Starchild Records","Geneon Entertainment USA, Discotek Media",Xebec,Original,"Romance, Sci-Fi, Action","Space, Mecha",23 min. per ep.,PG-13 - Teens 13 or older,"7.36 scored by 8,991 users",#2156,#3939,"22,548",115
Pandora Hearts Omake,Special,9,Finished Airing,"Jul 24, 2009 to Mar 25, 2010","flying DOG, Square Enix","None found, add some",Xebec,Manga,,,4 min. per ep.,PG-13 - Teens 13 or older,"7.35 scored by 20,772 users",#2202,#2786,"43,565",101
Osomatsu-san 3rd Season,TV,25,Finished Airing,"Oct 13, 2020 to Mar 30, 2021","Avex Pictures, Rakuonsha","None found, add some",Studio Pierrot,Manga,,"Parody, Gag Humor",23 min. per ep.,R - 17+ (violence & profanity),"7.35 scored by 5,985 users",#2201,#4268,"18,750",85
Toshokan Sensou: Koi no Shougai,Special,1,Finished Airing,"Oct 1, 2008","None found, add some","None found, add some",Production I.G,Novel,"Drama, Romance, Action, Comedy","Adult Cast, Military",24 min.,PG-13 - Teens 13 or older,"7.36 scored by 5,304 users",#2155,#5586,"9,508",3
Mama wa Shougaku 4 Nensei,TV,51,Finished Airing,"Jan 10, 1992 to Dec 25, 1992","None found, add some","None found, add some",Sunrise,Original,"Drama, Sci-Fi, Comedy",Childcare,24 min. per ep.,PG - Children,"7.32 scored by 2,020 users",#2361,#7051,"5,292",31
Kurau Phantom Memory,TV,24,Finished Airing,"Jun 25, 2004 to Dec 16, 2004","Media Factory, TV Asahi, Victor Entertainment","Funimation, ADV Films",Bones,Original,"Drama, Sci-Fi, Action","Super Power, Space",23 min. per ep.,PG-13 - Teens 13 or older,"7.32 scored by 7,666 users",#2360,#3517,"28,503",130
Kowarekake no Orgel,OVA,1,Finished Airing,"Dec 31, 2009","None found, add some","None found, add some",ElectromagneticWave,Original,"Drama, Slice of Life, Sci-Fi",Music,28 min.,G - All Ages,"7.32 scored by 16,124 users",#2359,#3232,"33,669",72
Beelzebub: Hirotta Akachan wa Daimaou!?,Special,1,Finished Airing,"Oct 23, 2010",Shueisha,"None found, add some","Pierrot Plus, Studio Pierrot",Manga,"Supernatural, Action, Comedy","Delinquents, Mythology, Childcare, School",30 min.,PG-13 - Teens 13 or older,"7.29 scored by 16,905 users",#2466,#3121,"35,722",39
"The iDOLM@STER Cinderella Girls: Anytime, Anywhere with Cinderella.",Special,1,Finished Airing,"Feb 25, 2016","None found, add some","None found, add some",A-1 Pictures,Game,"Drama, Comedy","Idols (Female), Music",29 min.,PG-13 - Teens 13 or older,"7.28 scored by 3,171 users",#2534,#6020,"7,970",8
Kakumeiki Valvrave 2nd Season,TV,12,Finished Airing,"Oct 10, 2013 to Dec 27, 2013","Dentsu, Bandai Namco Entertainment, Mainichi Broadcasting System, Movic, Aniplex, Bandai",Aniplex of America,Sunrise,Original,,"Space, Mecha",24 min. per ep.,R - 17+ (violence & profanity),"7.27 scored by 50,461 users",#2585,#1859,"87,659",197
Chuunibyou demo Koi ga Shitai! Lite,ONA,6,Finished Airing,"Sep 27, 2012 to Oct 31, 2012","None found, add some",Sentai Filmworks,Kyoto Animation,Light novel,,School,6 min. per ep.,PG-13 - Teens 13 or older,"7.26 scored by 71,808 users",#2650,#1387,"130,357",176
Chibi Maruko-chan (1995),TV,Unknown,Currently Airing,"Jan 8, 1995 to ?","Sakura Production, Ajia-Do","None found, add some",Nippon Animation,Manga,"Slice of Life, Comedy",School,23 min.,G - All Ages,"7.26 scored by 1,345 users",#2649,#7940,"3,943",36
Cheonnyeon-yeowoo Yeowoobi,Movie,1,Finished Airing,"Jan 25, 2007",Yellow Film,"None found, add some",Sunwoo Entertainment,Original,"Drama, Sci-Fi, Fantasy",,1 hr. 25 min.,PG - Children,"7.26 scored by 5,864 users",#2648,#4888,"13,271",42
Break Blade,TV,12,Finished Airing,"Apr 6, 2014 to Jun 22, 2014","Bandai Visual, Showgate, Lantis","None found, add some","Production I.G, Xebec",Manga,"Action, Fantasy","Adult Cast, Mecha, Military",24 min. per ep.,R - 17+ (violence & profanity),"7.26 scored by 34,746 users",#2647,#1870,"86,969",195
Boku no Hero Academia: Training of the Dead,OVA,1,Finished Airing,"Jun 2, 2017","None found, add some","None found, add some",Bones,Manga,"Action, Comedy","Super Power, School",25 min.,PG-13 - Teens 13 or older,"7.26 scored by 90,316 users",#2646,#1078,"174,184",194
Boku no Hero Academia: Sukue! Kyuujo Kunren!,OVA,1,Finished Airing,"Apr 4, 2017","None found, add some","None found, add some",Bones,Manga,"Action, Comedy","Super Power, School",25 min.,PG-13 - Teens 13 or older,"7.26 scored by 78,465 users",#2645,#1201,"156,979",137
Baki,ONA,26,Finished Airing,"Jun 25, 2018 to Dec 17, 2018","None found, add some",Sentai Filmworks,TMS Entertainment,Manga,,"Combat Sports, Martial Arts",24 min. per ep.,R - 17+ (violence & profanity),"7.26 scored by 167,900 users",#2644,#629,"299,673","1,727"
Ajin Part 3: Shougeki,Movie,1,Finished Airing,"Sep 23, 2016",TOHO animation,Sentai Filmworks,Polygon Pictures,Manga,"Horror, Mystery, Supernatural, Action",Gore,2 hr.,R - 17+ (violence & profanity),"7.26 scored by 4,644 users",#2643,#3873,"23,200",10
Zero no Tsukaima: Princesses no Rondo - Yuuwaku no Sunahama,Special,1,Finished Airing,"Dec 25, 2008","None found, add some",Sentai Filmworks,J.C.Staff,Light novel,"Ecchi, Fantasy, Comedy","Harem, Isekai",23 min.,PG-13 - Teens 13 or older,"7.26 scored by 48,091 users",#2642,#1871,"86,924",121
Zero no Tsukaima,TV,13,Finished Airing,"Jul 3, 2006 to Sep 25, 2006","Shochiku, Media Factory, Bushiroad, Genco, Happinet Pictures","Sentai Filmworks, Geneon Entertainment USA",J.C.Staff,Light novel,"Ecchi, Adventure, Romance, Action, Fantasy, Comedy","School, Harem, Isekai",23 min. per ep.,PG-13 - Teens 13 or older,"7.26 scored by 425,910 users",#2641,#189,"739,636","7,521"
Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou,TV,12,Finished Airing,"Oct 2, 2021 to Dec 18, 2021",Mainichi Broadcasting System,Sentai Filmworks,Studio Gokumi,Original,"Drama, Slice of Life, Fantasy",,24 min. per ep.,PG-13 - Teens 13 or older,"7.26 scored by 3,896 users",#2640,#4378,"17,660",127
Wu Geng Ji Zhi San Jie,ONA,42,Finished Airing,"Dec 20, 2019 to Oct 9, 2020",Tencent Penguin Pictures,"None found, add some",Sparkly Key Animation Studio,Manga,"Supernatural, Action, Fantasy","Martial Arts, Historical",16 min. per ep.,PG-13 - Teens 13 or older,7.26 scored by None users,#2639,#9644,"2,033",8
"Wei, Kanjian Erduo La!",ONA,12,Finished Airing,"Aug 25, 2018 to Nov 3, 2018","bilibili, Alchemy Bros.","None found, add some",monofilmo,Web manga,"Slice of Life, Boys Love, Comedy",,3 min. per ep.,PG-13 - Teens 13 or older,"7.26 scored by 7,312 users",#2637,#4558,"15,959",89
Witch Hunter Robin,TV,26,Finished Airing,"Jul 2, 2002 to Dec 24, 2002","Bandai Visual, Dentsu, TV Tokyo, Victor Entertainment","Bandai Entertainment, Funimation",Sunrise,Original,"Drama, Mystery, Supernatural, Action",Detective,25 min. per ep.,PG-13 - Teens 13 or older,"7.26 scored by 41,215 users",#2638,#1652,"104,130",554
Trinity Seven Movie 1: Eternity Library to Alchemic Girl,Movie,1,Finished Airing,"Feb 25, 2017","Avex Pictures, Sotsu","None found, add some",Seven Arcs Pictures,Manga,"Ecchi, Romance, Action, Fantasy, Comedy","School, Harem",55 min.,PG-13 - Teens 13 or older,"7.26 scored by 80,171 users",#2635,#1222,"153,452",234
Utawarerumono: Itsuwari no Kamen,TV,25,Finished Airing,"Oct 4, 2015 to Mar 27, 2016","AQUAPLUS, Toranoana, King Records, ensky, KlockWorx",Sentai Filmworks,White Fox,Visual novel,"Drama, Action, Fantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"7.26 scored by 41,546 users",#2636,#1720,"99,060",356
Ookiku Furikabutte: Kihon no Kihon,Special,1,Finished Airing,"Feb 27, 2008","None found, add some",Funimation,A-1 Pictures,Manga,"Drama, Sports",Team Sports,24 min.,G - All Ages,"7.25 scored by 7,222 users",#2700,#5048,"12,389",9
Ookami Shoujo to Kuro Ouji: Gishinanki – Happening Kiss,OVA,1,Finished Airing,"Apr 24, 2015",VAP,"None found, add some",TYO Animations,Manga,"Romance, Comedy",School,23 min.,PG-13 - Teens 13 or older,"7.25 scored by 23,984 users",#2699,#2616,"49,700",46
One Piece: Umi no Heso no Daibouken-hen,Special,1,Finished Airing,"Dec 20, 2000","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Action, Fantasy, Comedy",Super Power,49 min.,PG-13 - Teens 13 or older,"7.25 scored by 16,129 users",#2698,#3309,"32,124",23
One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!,Special,1,Finished Airing,"Apr 6, 2003","None found, add some","None found, add some",Toei Animation,Manga,"Adventure, Action, Fantasy, Comedy",Super Power,46 min.,PG-13 - Teens 13 or older,"7.25 scored by 13,557 users",#2697,#3531,"28,330",19
Ojamajo Doremi,TV,51,Finished Airing,"Feb 7, 1999 to Jan 30, 2000",Asahi Broadcasting,4Kids Entertainment,Toei Animation,Original,,,24 min. per ep.,G - All Ages,"7.25 scored by 20,956 users",#2696,#2695,"46,867",521
"Natsu-iro Egao de 1, 2, Jump!",Music,1,Finished Airing,"Aug 24, 2011",Lantis,"None found, add some",Sunrise,Music,,"Idols (Female), Music",5 min.,PG-13 - Teens 13 or older,"7.25 scored by 6,992 users",#2695,#4956,"12,879",18
Mitaiken Horizon,Music,1,Finished Airing,"Sep 25, 2019",Lantis,"None found, add some",Sunrise,Other,,"Idols (Female), Music",8 min.,G - All Ages,"7.25 scored by 1,216 users",#2694,#8530,"3,121",6
Miracle Giants Doumu-kun,TV,49,Finished Airing,"Apr 2, 1989 to Mar 25, 1990","Yomiko Advertising, Gallop","None found, add some","None found, add some",Manga,,Team Sports,25 min. per ep.,PG - Children,7.25 scored by None users,#2693,#10489,"1,471",5
Midori no Hibi,TV,13,Finished Airing,"Apr 4, 2004 to Jun 27, 2004","Bandai Visual, Lantis","NYAV Post, Media Blasters",Studio Pierrot,Manga,"Drama, Ecchi, Romance, Comedy",,24 min. per ep.,R+ - Mild Nudity,"7.25 scored by 82,877 users",#2692,#1240,"151,536",599
Mai-Otome Zwei,OVA,4,Finished Airing,"Nov 24, 2006 to Aug 24, 2007","Bandai Visual, Lantis","Bandai Entertainment, Funimation",Sunrise,Original,,,30 min. per ep.,R+ - Mild Nudity,"7.25 scored by 9,990 users",#2691,#4313,"18,309",28
Kindaichi Shounen no Jikenbo Specials,Special,2,Finished Airing,"Nov 12, 2007 to Nov 19, 2007","Dentsu, Magic Bus, YTV","None found, add some",Toei Animation,Manga,,,48 min. per ep.,PG-13 - Teens 13 or older,7.25 scored by None users,#2689,#9237,"2,371",6
Kimi no Hikari: Asagao to Kase-san.,OVA,1,Finished Airing,"Jul 25, 2017",Pony Canyon,"None found, add some",Zexcs,Manga,"Romance, Girls Love","School, Music",6 min.,PG-13 - Teens 13 or older,"7.25 scored by 14,447 users",#2688,#3120,"35,735",84
Just Because!,TV,12,Finished Airing,"Oct 5, 2017 to Dec 28, 2017","Sotsu, INCS toenter, Tokyo MX, AT-X, BS Fuji, NBCUniversal Entertainment Japan, Moonbell",Sentai Filmworks,Pine Jam,Original,"Drama, Slice of Life, Romance","School, Love Polygon",23 min. per ep.,PG-13 - Teens 13 or older,"7.25 scored by 109,637 users",#2687,#725,"264,515","1,212"
Inukami!,TV,26,Finished Airing,"Apr 6, 2006 to Sep 28, 2006","Yomiuri Advertising, ASCII Media Works, Starchild Records",Discotek Media,Seven Arcs,Light novel,"Ecchi, Romance, Supernatural, Comedy",,23 min. per ep.,PG-13 - Teens 13 or older,"7.25 scored by 27,987 users",#2686,#2224,"66,109",202
Kinnikuman,TV,137,Finished Airing,"Apr 3, 1983 to Oct 1, 1986",Nippon Television Network,"None found, add some",Toei Animation,Manga,"Adventure, Sports, Comedy",Combat Sports,24 min. per ep.,PG-13 - Teens 13 or older,"7.25 scored by 3,297 users",#2690,#5434,"10,183",64
Inu to Neko Docchi mo Katteru to Mainichi Tanoshii,TV,24,Finished Airing,"Oct 3, 2020 to Mar 27, 2021","studioGONG, Half H.P Studio","None found, add some",Team TillDawn,Manga,"Slice of Life, Comedy",Pets,1 min. per ep.,G - All Ages,"7.25 scored by 6,265 users",#2685,#5025,"12,511",36
Inferno Cop,ONA,13,Finished Airing,"Dec 25, 2012 to Mar 19, 2013",CoMix Wave Films,"None found, add some",Trigger,Original,"Action, Comedy","Gag Humor, Detective",3 min. per ep.,R - 17+ (violence & profanity),"7.25 scored by 53,815 users",#2684,#1769,"94,647","1,060"
Love Stage!!,TV,10,Finished Airing,"Jul 10, 2014 to Sep 11, 2014",Kadokawa Shoten,Sentai Filmworks,J.C.Staff,Manga,"Romance, Boys Love, Comedy",,23 min. per ep.,PG-13 - Teens 13 or older,"7.24 scored by 130,884 users",#2749,#817,"233,188","1,552"
Mahoutsukai no Yome Recap,Special,1,Finished Airing,"Dec 31, 2017","flying DOG, Shochiku, Mag Garden, Production I.G","None found, add some",Wit Studio,Manga,"Slice of Life, Fantasy",,24 min.,PG-13 - Teens 13 or older,"7.24 scored by 4,020 users",#2750,#4889,"13,270",26
Kyoro-chan,TV,91,Finished Airing,"Jul 1, 1999 to Mar 29, 2001","TV Tokyo, Aniplex","None found, add some",Group TAC,Other,"Adventure, Fantasy, Comedy",,25 min. per ep.,PG - Children,"7.24 scored by 1,231 users",#2747,#9094,"2,524",23
Koukaku Kidoutai Arise: Alternative Architecture,TV,10,Finished Airing,"Apr 5, 2015 to Jun 14, 2015",TOHO animation,Funimation,Production I.G,Manga,,"Adult Cast, Mecha, Psychological, Detective",24 min. per ep.,R - 17+ (violence & profanity),"7.24 scored by 13,809 users",#2746,#2947,"39,942",42
Kiniro Mosaic,TV,12,Finished Airing,"Jul 6, 2013 to Sep 21, 2013","Media Factory, Showgate",Sentai Filmworks,Studio Gokumi,4-koma manga,"Slice of Life, Comedy","School, CGDCT",24 min. per ep.,PG-13 - Teens 13 or older,"7.24 scored by 64,896 users",#2745,#1102,"170,337",851
Keroro Gunsou Movie 1,Movie,1,Finished Airing,"Mar 11, 2006","None found, add some","None found, add some",Sunrise,Manga,"Sci-Fi, Comedy",,1 hr.,PG - Children,"7.24 scored by 3,184 users",#2744,#6679,"6,116",13
Initial D Battle Stage 3,OVA,1,Finished Airing,"Mar 5, 2021","None found, add some","None found, add some","None found, add some",Manga,,Racing,1 hr. 33 min.,PG-13 - Teens 13 or older,"7.24 scored by 1,123 users",#2743,#8418,"3,263",12
Hitsugi no Chaika,TV,12,Finished Airing,"Apr 10, 2014 to Jun 26, 2014","flying DOG, Fujimi Shobo, Kadokawa Shoten",Sentai Filmworks,Bones,Light novel,"Adventure, Romance, Action, Fantasy, Comedy",,24 min. per ep.,R - 17+ (violence & profanity),"7.24 scored by 162,005 users",#2742,#519,"347,947",786
Hetalia: The World Twinkle Specials,Special,3,Finished Airing,"Oct 28, 2015 to Dec 25, 2015","None found, add some",Funimation,Studio Deen,Manga,,"Parody, Historical",5 min. per ep.,PG-13 - Teens 13 or older,"7.24 scored by 2,565 users",#2740,#6285,"7,136",7
Himouto! Umaru-chan OVA,OVA,2,Finished Airing,"Oct 19, 2015 to Apr 19, 2017","None found, add some","None found, add some",Doga Kobo,Manga,"Slice of Life, Comedy","School, Otaku Culture",23 min. per ep.,PG-13 - Teens 13 or older,"7.24 scored by 38,044 users",#2741,#2071,"73,608",68
Hetalia: The World Twinkle,ONA,15,Finished Airing,"Jul 3, 2015 to Oct 9, 2015",Frontier Works,Funimation,Studio Deen,Manga,,"Historical, Gag Humor, Parody, Anthropomorphic",5 min. per ep.,PG-13 - Teens 13 or older,"7.24 scored by 17,436 users",#2739,#3009,"38,477",227
Haiyore! Nyaruko-san W,TV,12,Finished Airing,"Apr 8, 2013 to Jul 1, 2013","Sotsu, Avex Entertainment, DIVE II Entertainment","NIS America, Inc.",Xebec,Light novel,"Sci-Fi, Comedy",Parody,24 min. per ep.,PG-13 - Teens 13 or older,"7.24 scored by 86,080 users",#2738,#1139,"166,603",301
H2,TV,41,Finished Airing,"Jun 1, 1995 to Mar 21, 1996","Asahi Broadcasting, Toho Music","None found, add some",Production Reed,Manga,"Sports, Romance, Comedy",Team Sports,24 min. per ep.,PG-13 - Teens 13 or older,"7.24 scored by 3,028 users",#2737,#5797,"8,734",24
Goblin Slayer: Goblin's Crown,Movie,1,Finished Airing,"Feb 1, 2020",Hakuhodo DY Music & Pictures,"None found, add some",White Fox,Light novel,"Adventure, Action, Fantasy",,1 hr. 25 min.,R - 17+ (violence & profanity),"7.24 scored by 93,021 users",#2736,#926,"207,051",297
GJ-bu@,Special,1,Finished Airing,"May 6, 2014","None found, add some","None found, add some",Doga Kobo,Light novel,"Slice of Life, Comedy",School,46 min.,PG-13 - Teens 13 or older,"7.24 scored by 18,598 users",#2735,#3169,"34,952",22
Doraemon Movie 38: Nobita no Takarajima,Movie,1,Finished Airing,"Mar 3, 2018","Asatsu DK, Toho, Shogakukan-Shueisha Productions, TV Asahi, Shogakukan, Fujiko F. Fujio Pro","None found, add some",Shin-Ei Animation,Manga,"Adventure, Fantasy",,1 hr. 49 min.,PG - Children,"7.24 scored by 2,610 users",#2734,#7506,"4,607",4
Detective Conan: The Scarlet Alibi,Movie,1,Finished Airing,"Feb 11, 2021","None found, add some","None found, add some",TMS Entertainment,Manga,"Drama, Mystery, Action, Comedy",Detective,1 hr. 34 min.,PG-13 - Teens 13 or older,"7.24 scored by 1,072 users",#2733,#7153,"5,126",41
Darling in the FranXX,TV,24,Finished Airing,"Jan 13, 2018 to Jul 7, 2018","Rialto Entertainment, Ultra Super Pictures, Lucent Pictures Entertainment, Tokyo MX, Nagoya Broadcasting Network, Asahi Broadcasting, Movic, Lawson, ABC Animation, Khara, BS11, Aniplex",Funimation,"A-1 Pictures, Trigger, CloverWorks",Original,"Drama, Romance, Sci-Fi, Action",Mecha,24 min. per ep.,PG-13 - Teens 13 or older,"7.24 scored by 858,197 users",#2732,#61,"1,382,585","28,311"
Dantalian no Shoka,TV,12,Finished Airing,"Jul 16, 2011 to Oct 1, 2011","Kadokawa Pictures Japan, KlockWorx, TV Tokyo, Dwango, Kadokawa Shoten, NTT Docomo",Funimation,Gainax,Light novel,"Mystery, Supernatural, Action","Historical, Detective",25 min. per ep.,R - 17+ (violence & profanity),"7.24 scored by 54,110 users",#2731,#1336,"137,893",495
Super Crooks,ONA,13,Finished Airing,"Nov 25, 2021","None found, add some","None found, add some",Bones,Other,"Drama, Action, Suspense",,25 min. per ep.,PG-13 - Teens 13 or older,"7.23 scored by 17,549 users",#2799,#2989,"38,824",165
Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,OVA,1,Finished Airing,"Sep 14, 2005",VAP,Funimation,AIC,Original,"Sci-Fi, Action, Comedy","Space, Harem",30 min.,PG-13 - Teens 13 or older,"7.23 scored by 5,019 users",#2800,#5306,"10,847",14
Spiral: Suiri no Kizuna,TV,25,Finished Airing,"Oct 1, 2002 to Mar 25, 2003","SME Visual Works, Sotsu, TV Tokyo, Aniplex",Funimation,J.C.Staff,Manga,"Drama, Mystery",,23 min. per ep.,PG-13 - Teens 13 or older,"7.23 scored by 22,025 users",#2798,#2618,"49,619",275
Shi Yi Chang An: Mingyue Jishi You Er,ONA,13,Finished Airing,"Apr 15, 2021 to Jul 1, 2021",bilibili,"None found, add some",Ling San Wu Donghua,Manga,,Historical,16 min. per ep.,PG-13 - Teens 13 or older,7.23 scored by None users,#2797,#8355,"3,355",28
"Sengoku Basara Ni: Ryuko, Itadaki no Chikai! Atsuki Mirai e Kakeru Tamashii!!",Special,1,Finished Airing,"Apr 6, 2011","None found, add some",Funimation,Production I.G,Unknown,,"Samurai, Historical",26 min.,PG-13 - Teens 13 or older,"7.23 scored by 2,822 users",#2796,#6310,"7,063",4
Selector Infected WIXOSS,TV,12,Finished Airing,"Apr 4, 2014 to Jun 20, 2014","Showgate, Magic Capsule, Warner Bros. Japan",Funimation,J.C.Staff,Card game,,"Psychological, High Stakes Game, Strategy Game",24 min. per ep.,R - 17+ (violence & profanity),"7.23 scored by 59,954 users",#2795,#1325,"139,570",602
Seikai no Senki Special,Special,1,Finished Airing,"Jul 4, 2001","WOWOW, Bandai Visual","None found, add some",Sunrise,Light novel,"Romance, Sci-Fi, Action","Space, Military",2 hr.,PG-13 - Teens 13 or older,"7.23 scored by 1,120 users",#2794,#8511,"3,142",2
Sankarea: Wagahai mo... Zombie de Aru...,Special,1,Finished Airing,"Nov 30, 2012","TBS, BS-TBS, Pony Canyon, Kodansha, Lantis",Funimation,Studio Deen,Manga,"Ecchi, Horror, Romance, Supernatural, Comedy",,24 min.,R+ - Mild Nudity,"7.23 scored by 44,631 users",#2793,#1994,"78,574",34
