product_name,product_brand,product_rating,verified_ratings,items_left,current_price,previous_price,discount
"G20 - 6.52"", - 64GB ROM - 4GB RAM - Dual Sim - 4G LTE - 48MP - Fingerprint - Dark Blue",Nokia,0 out of 5,(No ratings available),29 items left,"₦ 73,446","₦ 93,430",21%
"IPhone 5 - IOS 16GB 4.0"" 4G Smartphone 4G LTE - 99% New Refurbished",Apple,4.4 out of 5,(28 verified ratings),30 items left,"₦ 20,000","₦ 40,196",50%
Grace Fortified Hooded Short Gown- Pink,Danami,4.1 out of 5,(12 verified ratings),128 items left,"₦ 5,025","₦ 6,500",23%
"G20, 6.5"" Screen, 4/128GB, 48/5/2/2MP Quad Camera - Glacier",Nokia,0 out of 5,(No ratings available),15 items left,"₦ 80,276","₦ 102,190",21%
Alloy Moon Multilayer Pendant Pink Crystal Necklace - Silver,,3.7 out of 5,(93 verified ratings),16 items left,₦ 900,₦ 979,8%
G10Wireless Bluetooth Speaker Portable Alarm Clock FM Radio,Winwolf,4.3 out of 5,(232 verified ratings),23 items left,"₦ 3,700","₦ 7,451",50%
2160 Dual Sim Feature Phone - Blue,Itel,4.3 out of 5,(163 verified ratings),459 items left,"₦ 5,200","₦ 6,250",17%
Nokia Essential Wireless Headphones 120CM BLACK,Nokia,0 out of 5,(No ratings available),100 items left,"₦ 15,114","₦ 20,160",25%
Silver Ankle Bracelet Women Anklet Adjustable Chain,,3.9 out of 5,(29 verified ratings),15 items left,₦ 800,₦ 899,11%
6 Pairs Pink Butterfly Pearl Ladies Earrings Set Punk Personality Earrings,,0 out of 5,(No ratings available),17 items left,"₦ 1,900","₦ 3,500",46%
Navy Blue And White Bold Striped Sweatshirt,Danami,4.3 out of 5,(16 verified ratings),139 items left,"₦ 4,200","₦ 7,000",40%
Cuban Link Chain With SAVAGE Pendant Silver DIAMOND,,4.6 out of 5,(10 verified ratings),2 items left,"₦ 6,100","₦ 8,900",31%
Confirm Polo T-shirt - Wine,Chrysolite Designs,3.5 out of 5,(126 verified ratings),80 items left,"₦ 3,000","₦ 5,000",40%
PVC Plastic Welding Machine Car Bumper Repair Machine,,0 out of 5,(No ratings available),15 items left,"₦ 3,300","₦ 7,137",54%
"C30, 6.8"" IPS LCD Screen, 2GB/32GB Memory, 13MP Dual Camera, 6000 mAh Battery, Android 11 - White",Nokia,0 out of 5,(No ratings available),200 items left,"₦ 59,752","₦ 69,530",14%
6 Multicolor Pairs Diamond Pearl Earrings Set Personality Punk Earrings,,0 out of 5,(No ratings available),19 items left,"₦ 1,900","₦ 3,500",46%
Blue With Black Striped Polo Collar T-Shirt,Danami,4 out of 5,(13 verified ratings),57 items left,"₦ 3,600","₦ 4,500",20%
EsoGoal Cellphone Tripod Stand Bluetooth Selfie Stick,,4.2 out of 5,(73 verified ratings),29 items left,"₦ 2,300","₦ 4,696",51%
"Mini DisplayPort To HDMI Adapter Mini DP Male To HDMI Female Thunderbolt 2.0 To HDMI Adapter For Apple MacBook Pro Air, Micro.soft Surface Pro 4 Pro 3, Google Chromebook, Monitor, Projector Etc.(White) BDZ",,4.4 out of 5,(85 verified ratings),29 items left,"₦ 2,400","₦ 5,292",55%
Star Fashion Luminous Bracelet Girl's Gift Bracelet Blue Fluorescent Bracelet,,4 out of 5,(1 verified rating),16 items left,₦ 900,"₦ 1,500",40%
Plain Hoodie- Sky/Light Blue,Danami,5 out of 5,(2 verified ratings),124 items left,"₦ 4,900","₦ 5,500",11%
Renewed - Apple IPhone 6S 2GB RAM+16GB ROM - Gold,Apple,5 out of 5,(2 verified ratings),30 items left,"₦ 51,470","₦ 105,882",51%
Women Lucky Four-leaf Clover Bracelet Valentine - Gold,,3.5 out of 5,(2 verified ratings),16 items left,₦ 900,"₦ 2,000",55%
Wireless Headphone Bluetooth 5.0 Earbuds - 1800mAh,,4.3 out of 5,(22 verified ratings),29 items left,"₦ 4,100","₦ 7,055",42%
110 - 4G LTE - Dual Sim - Fm Radio - Internet Browser - Games - Torch - MP3 Player- BLACK,Nokia,0 out of 5,(No ratings available),93 items left,"₦ 15,495","₦ 19,720",21%
Navy Blue With White Strip Sweatshirt,Danami,4.9 out of 5,(15 verified ratings),139 items left,"₦ 3,890","₦ 7,000",44%
Turtle Anklet Pendant Shell Starfish Yoga Beach Couple Set Foot Anklet,,0 out of 5,(No ratings available),19 items left,₦ 900,"₦ 2,000",55%
T500 X7 Smart Watch Full Touch Screen -Black,,3 out of 5,(5 verified ratings),24 items left,"₦ 4,500","₦ 10,142",56%
Mini Cube Camera 1080P HD IR Night Vision 120° Wide Angle,,3 out of 5,(45 verified ratings),20 items left,"₦ 3,300","₦ 6,471",49%
